feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step
random20_high_class_mean_01,0,10883,8.21622536781631e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,1,12281,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,2,963,1.1359248061310694e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,3,14495,7.71558196109556e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,4,7610,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,5,12667,0.00020806477181015509,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,6,11333,0.0001159598029910877,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,7,2536,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,8,7188,0.0011452640055673682,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,9,2990,3.205314104290856e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,10,10136,0.0004613080440477545,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,11,2352,0.002606990950102391,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,12,12355,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,13,5812,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,14,642,1.53717193951738e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,15,8011,0.0008840941286142726,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,16,15786,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,17,12148,0.00012430732068730054,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,18,8807,6.77731518140599e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_01,19,6024,4.562092845372888e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,0,1328,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,1,4615,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,2,10710,0.0006925921705377102,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,3,13129,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,4,6393,0.00039251744348734813,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,5,14658,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,6,13502,0.0067198665546163595,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,7,3753,0.005759701431594427,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,8,10136,0.0004613080440477545,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,9,2474,0.0007086014250582208,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,10,11337,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,11,4998,6.040244457874652e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,12,12480,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,13,13548,0.0002990685064684257,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,14,9046,0.0,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,15,11075,0.00022201861608474598,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,16,7054,0.0004112820071292738,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,17,13719,0.00034266659979991865,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,18,15208,0.00033444386687786845,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
random20_high_class_mean_02,19,16296,4.540553147142459e-05,1.0,random_class_mean_set,random_set_to_high_progress_mean,1,always,20
