step,stage,displacement_from_start,cumulative_motion_proxy,top5_feature_mean,top20_feature_mean,contact_force,action_translation_norm,any_safety_event,future_safety_event,case,episode_id,suite,episode_progress_norm
19,0.03171953255425709,0.1737373,0.052886557,0.0,0.0,0.3386512,0.8503962,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
20,0.0333889816360601,0.18420067,0.056123726,0.0,0.0,0.3386512,0.9476404,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
21,0.035058430717863104,0.19566867,0.059767473,0.0,0.0,0.3386512,0.9506688,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
22,0.03672787979966611,0.2072871,0.06346282,0.0,0.0,0.3386512,1.0124764,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
23,0.038397328881469114,0.21844827,0.06693837,0.0,0.0,0.3386512,0.8788581,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
24,0.04006677796327212,0.2289418,0.07011237,0.0,0.0,0.3386512,0.84988743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
25,0.041736227045075125,0.23963901,0.07337217,0.0,0.0,0.3386512,0.92002374,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
26,0.04340567612687813,0.2503871,0.07662862,0.0,0.0,0.3386512,0.8516033,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
27,0.045075125208681135,0.2608123,0.07977409,0.0,0.0,0.3386512,0.84999424,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
28,0.04674457429048414,0.2711052,0.08307497,0.0,0.0,0.3386512,1.1967714,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
29,0.048414023372287146,0.28072125,0.08615566,0.0,0.0,0.3386512,0.8685757,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
30,0.05008347245409015,0.29059637,0.08915308,0.0,0.0,0.3386512,0.8652182,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
31,0.05175292153589316,0.30018398,0.09208238,0.0,0.0,0.3386512,0.8729204,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
32,0.05342237061769616,0.30986387,0.09526327,0.0,0.0,0.3386512,0.933638,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
33,0.05509181969949917,0.3197116,0.09907957,0.0,0.0,0.3386512,1.3027186,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
34,0.05676126878130217,0.32867983,0.10212164,0.0,0.0,0.3386512,0.8519074,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
35,0.05843071786310518,0.3373045,0.10473664,0.0,0.0,0.3386512,0.8519074,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
36,0.06010016694490818,0.34609586,0.1073902,0.0,0.0,0.3386512,0.8478997,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
37,0.06176961602671119,0.35486132,0.110048436,0.0,0.0,0.3386512,0.848091,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
38,0.06343906510851419,0.36304942,0.11253098,0.0,0.0,0.3386512,0.8519074,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
39,0.0651085141903172,0.3713485,0.11522628,0.0,0.0,0.3386512,0.9426909,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
40,0.0667779632721202,0.37940913,0.11783685,0.0,0.0,0.3386512,0.84875214,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
41,0.06844741235392321,0.38644722,0.1201461,0.0,0.0,0.3386512,0.8494923,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
42,0.07011686143572621,0.39311376,0.1223816,0.0,0.0,0.3386512,0.8494923,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
43,0.07178631051752922,0.3999991,0.1251531,0.0,0.0,0.3386512,0.94556934,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
44,0.07345575959933222,0.40629748,0.12791072,0.0,0.0,0.3386512,0.8585453,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
45,0.07512520868113523,0.4122308,0.1304271,0.0,0.0,0.3386512,0.9331167,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
46,0.07679465776293823,0.41785946,0.13337679,0.0,0.0,0.3386512,1.275245,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
47,0.07846410684474124,0.42341104,0.13693504,0.0,0.0,0.3386512,1.1954153,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
48,0.08013355592654424,0.42987433,0.14106642,0.0,0.0,0.3386512,0.9396987,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
49,0.08180300500834725,0.43647784,0.14488418,0.0,0.0,0.3386512,0.962887,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
50,0.08347245409015025,0.4438979,0.14936687,0.0,0.0,0.3386512,0.9499986,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
51,0.08514190317195326,0.45230123,0.15382694,0.0,0.0,0.3386512,0.962887,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
52,0.08681135225375626,0.4607886,0.15783094,0.0,0.0,0.3386512,0.93282694,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
53,0.08848080133555926,0.46843207,0.16101648,0.0,0.0,0.3386512,1.2131816,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
54,0.09015025041736227,0.47618255,0.16436422,0.0,0.0,249.24571,0.9499986,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
55,0.09181969949916527,0.48090035,0.16749558,0.0,0.0,114.729675,0.9884878,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
56,0.09348914858096828,0.48506963,0.17035903,0.0,0.0,152.05952,0.9499986,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
57,0.09515859766277128,0.48738262,0.17248781,0.0,0.0,193.71161,0.9396987,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
58,0.09682804674457429,0.48689094,0.1756978,0.0,0.0,136.21927,0.54369277,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
59,0.09849749582637729,0.48661932,0.18024373,0.0,0.0,125.5954,1.135233,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
60,0.1001669449081803,0.4864981,0.18585482,0.0,0.0,95.26585,1.135233,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
61,0.1018363939899833,0.4835073,0.19116876,0.0,0.0,14.205337,0.85552996,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
62,0.10350584307178631,0.48383754,0.19616395,0.0,0.0,33.011486,1.2642562,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
63,0.10517529215358931,0.4857791,0.20543149,0.0,0.0,34.62996,1.0552115,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
64,0.10684474123539232,0.4864888,0.21308886,0.0,0.0,108.15315,0.9199928,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
65,0.10851419031719532,0.4878881,0.21605292,0.0,0.0,96.31129,0.9022061,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
66,0.11018363939899833,0.48745334,0.22068195,0.0,0.0,12.755873,0.95602286,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
67,0.11185308848080133,0.49035966,0.23054904,0.0,0.0,0.60190487,1.1760751,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
68,0.11352253756260434,0.49640226,0.24122803,0.0,0.0,64.78572,0.96765286,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
69,0.11519198664440734,0.4946188,0.24335912,0.0,0.0,11.132342,1.2389388,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
70,0.11686143572621036,0.49413055,0.24558005,0.0,0.0,0.63743335,0.9276618,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
71,0.11853088480801335,0.49401176,0.24709001,0.0,0.0,30.688507,0.9276618,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
72,0.12020033388981637,0.49475643,0.24857701,0.0,0.0,21.204498,0.9350795,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
73,0.12186978297161936,0.49571285,0.25135326,0.0,0.0,16.217134,1.0845312,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
74,0.12353923205342238,0.49508047,0.25597787,0.0,0.0,0.6923053,0.99876654,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
75,0.12520868113522537,0.49479687,0.25810114,0.0,0.0,117.51953,1.2389388,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
76,0.12687813021702837,0.49348187,0.2596208,0.0,0.0,139.84404,0.9284065,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
77,0.1285475792988314,0.4942749,0.25987554,0.0,0.0,113.49877,0.9284065,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
78,0.1302170283806344,0.4944431,0.26153448,0.0,0.0,0.33864513,0.9284065,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
79,0.1318864774624374,0.49563724,0.26304564,0.0,0.0,0.33865094,1.0196596,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
80,0.1335559265442404,0.49515697,0.2640799,0.0,0.0,19.789658,0.50237006,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
81,0.1352253756260434,0.49522415,0.26465338,0.0,0.0,145.86537,0.9098294,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
82,0.13689482470784642,0.49580434,0.2654787,0.0,0.0,18.368103,0.9135654,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
83,0.13856427378964942,0.4958368,0.2669946,0.0,0.0,23.153473,0.9101859,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
84,0.14023372287145242,0.4956303,0.26835272,0.0,0.0,0.3386512,0.93690616,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
85,0.1419031719532554,0.49519488,0.2686071,0.0,0.0,150.38753,0.94556934,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
86,0.14357262103505844,0.4962807,0.269667,0.0,0.0,25.639315,0.93038434,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
87,0.14524207011686144,0.4965195,0.27201328,0.0,0.0,166.26721,0.94556934,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
88,0.14691151919866444,0.49627864,0.27358344,0.0,0.0,0.3386512,0.94556934,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
89,0.14858096828046743,0.49559402,0.27485973,0.0,0.0,176.6274,0.96341205,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
90,0.15025041736227046,0.49613822,0.2753122,0.0,0.0,0.3386512,0.94556934,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
91,0.15191986644407346,0.4956333,0.27701125,0.0,0.0,0.3386512,0.96341205,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
92,0.15358931552587646,0.49596265,0.27874893,0.0,0.0,0.3386512,0.6172062,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
93,0.15525876460767946,0.49672952,0.2808815,0.0,0.0,185.75668,0.94556934,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
94,0.15692821368948248,0.49711895,0.28126928,0.0,0.0,0.3386512,0.96341205,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
95,0.15859766277128548,0.4972383,0.2825475,0.0,0.0,0.3386512,0.93649167,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
96,0.16026711185308848,0.49711937,0.28509322,0.0,0.0,0.3386512,0.24691898,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
97,0.16193656093489148,0.49695888,0.2857809,0.0,0.0,76.16508,0.8852947,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
98,0.1636060100166945,0.4974984,0.28760463,0.0,0.0,0.3386512,0.8953147,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
99,0.1652754590984975,0.4975485,0.288218,0.0,0.0,63.61469,1.2410822,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
100,0.1669449081803005,0.49695855,0.292433,0.0,0.0,0.3386512,1.2337897,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
101,0.1686143572621035,0.49718967,0.29313388,0.0,0.0,122.19591,0.9486425,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
102,0.17028380634390652,0.49759206,0.29558143,0.0,0.0,34.505524,1.0150794,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
103,0.17195325542570952,0.4974395,0.29683787,0.0,0.0,55.598858,0.9760218,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
104,0.17362270450751252,0.49739936,0.29795566,0.0,0.0,188.54965,0.8510743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
105,0.17529215358931552,0.4976931,0.29986003,0.0,0.0,0.3386512,0.9234789,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
106,0.17696160267111852,0.4976083,0.30207124,0.0,0.0,83.66299,0.95918876,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
107,0.17863105175292154,0.49716887,0.30333135,0.0,0.0,62.680515,0.8510743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
108,0.18030050083472454,0.4977756,0.30641618,0.0,0.0,0.3386512,0.9486425,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
109,0.18196994991652754,0.49763045,0.3069063,0.0,0.0,56.566814,0.86302483,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
110,0.18363939899833054,0.49728104,0.30826113,0.0,0.0,110.59507,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
111,0.18530884808013356,0.4978517,0.3109094,0.0,0.0,0.3386512,0.9486425,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
112,0.18697829716193656,0.49786857,0.311455,0.0,0.0,41.70352,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
113,0.18864774624373956,0.49745494,0.31290305,0.0,0.0,58.268665,0.9831234,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
114,0.19031719532554256,0.4980043,0.31523594,0.0,0.0,131.58224,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
115,0.19198664440734559,0.49803722,0.3158588,0.0,0.0,26.19393,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
116,0.19365609348914858,0.49756622,0.3175826,0.0,0.0,61.97379,0.9522263,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
117,0.19532554257095158,0.49815238,0.3201278,0.0,0.0,158.96475,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
118,0.19699499165275458,0.49823976,0.32080942,0.0,0.0,44.171455,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
119,0.1986644407345576,0.49765033,0.32273403,0.0,0.0,56.691166,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
120,0.2003338898163606,0.49833015,0.32541212,0.0,0.0,16.564531,0.8510743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
121,0.2020033388981636,0.49831232,0.3256092,0.0,0.0,0.3386512,0.97967976,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
122,0.2036727879799666,0.4977589,0.3280599,0.0,0.0,67.77575,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
123,0.20534223706176963,0.49829057,0.33026266,0.0,0.0,10.112672,0.6061928,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
124,0.20701168614357263,0.4980991,0.33081248,0.0,0.0,0.3386512,1.0293021,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
125,0.20868113522537562,0.49823937,0.33286947,0.0,0.0,163.37012,0.9868828,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
126,0.21035058430717862,0.49824753,0.3333861,0.0,0.0,3.6394079,0.9703228,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
127,0.21202003338898165,0.49792302,0.33564186,0.0,0.0,129.49243,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
128,0.21368948247078465,0.49724728,0.338611,0.0,0.0,62.06841,0.88235414,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
129,0.21535893155258765,0.49783444,0.3405104,0.0,0.0,128.7169,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
130,0.21702838063439064,0.49779588,0.3408506,0.0,0.0,36.40819,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
131,0.21869782971619364,0.49739337,0.3425141,0.0,0.0,56.631454,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
132,0.22036727879799667,0.49787313,0.34415138,0.0,0.0,138.07394,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
133,0.22203672787979967,0.49775472,0.34462616,0.0,0.0,54.959034,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
134,0.22370617696160267,0.49727616,0.34638086,0.0,0.0,72.6706,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
135,0.22537562604340566,0.49782366,0.3484375,0.0,0.0,141.09348,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
136,0.2270450751252087,0.49782005,0.3485202,0.0,0.0,54.786804,0.9831234,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
137,0.2287145242070117,0.49715582,0.34991315,0.0,0.0,0.3386512,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
138,0.2303839732888147,0.49802583,0.35294035,0.0,0.0,147.21112,0.8510743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
139,0.23205342237061768,0.4976713,0.35412693,0.0,0.0,0.3386512,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
140,0.2337228714524207,0.4980799,0.35624,0.0,0.0,246.37405,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
141,0.2353923205342237,0.4978865,0.35768434,0.0,0.0,3.4640949,0.8510743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
142,0.2370617696160267,0.49800032,0.35857937,0.0,0.0,73.814964,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
143,0.2387312186978297,0.49761972,0.35945135,0.0,0.0,86.71035,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
144,0.24040066777963273,0.4979661,0.3609353,0.0,0.0,36.431797,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
145,0.24207011686143573,0.49742097,0.36443245,0.0,0.0,73.8819,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
146,0.24373956594323873,0.49766797,0.3655747,0.0,0.0,1.0855365,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
147,0.24540901502504173,0.49759835,0.36582112,0.0,0.0,0.3386512,1.0017394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
148,0.24707846410684475,0.4972709,0.36723,0.0,0.0,123.95696,0.8510743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
149,0.24874791318864775,0.4977482,0.36884576,0.0,0.0,25.29873,0.88821703,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
150,0.25041736227045075,0.49731517,0.370754,0.0,0.0,0.3386512,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
151,0.25208681135225375,0.49753365,0.37125143,0.0,0.0,128.84755,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
152,0.25375626043405675,0.4976446,0.3721886,0.0,0.0,46.819485,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
153,0.25542570951585974,0.49728972,0.3732873,0.0,0.0,95.96925,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
154,0.2570951585976628,0.49770227,0.37535012,0.0,0.0,0.3386512,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
155,0.2587646076794658,0.49733308,0.37699634,0.0,0.0,0.3386512,0.86302483,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
156,0.2604340567612688,0.4974056,0.37717733,0.0,0.0,130.46365,0.880514,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
157,0.2621035058430718,0.49758285,0.37788832,0.0,0.0,44.922325,0.9226394,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
158,0.2637729549248748,0.49730945,0.378874,0.0,0.0,166.40782,0.92708224,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
159,0.2654424040066778,0.49769297,0.38043818,0.0,0.0,42.998558,0.88821703,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
160,0.2671118530884808,0.49738905,0.38201702,0.0,0.0,110.83748,0.8510743,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
161,0.2687813021702838,0.49769768,0.38298735,0.0,0.0,36.534306,0.9486425,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
162,0.2704507512520868,0.49736825,0.3845516,0.0,0.0,171.21014,0.86302483,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
163,0.27212020033388984,0.49738592,0.38606727,0.0,0.0,0.3386512,0.9486425,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
164,0.27378964941569284,0.4976556,0.38765776,0.0,0.0,105.940216,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
165,0.27545909849749584,0.49729508,0.38870263,0.0,0.0,0.3386512,0.9486425,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
166,0.27712854757929883,0.4974283,0.3889266,0.0,0.0,50.1425,0.9486425,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
167,0.27879799666110183,0.4973161,0.39025307,0.0,0.0,158.95918,0.9522263,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
168,0.28046744574290483,0.49712598,0.39125633,0.0,0.0,0.3386512,0.9522263,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
169,0.28213689482470783,0.49722594,0.3918723,0.0,0.0,39.401382,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
170,0.2838063439065108,0.49703535,0.39304185,0.0,0.0,125.8797,0.9339963,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
171,0.2854757929883139,0.49691385,0.3940316,0.0,0.0,0.3386512,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
172,0.2871452420701169,0.4970104,0.3942587,0.0,0.0,0.3386512,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
173,0.2888146911519199,0.49645048,0.39654556,0.0,0.0,0.3386512,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
174,0.2904841402337229,0.497279,0.3989178,0.0,0.0,486.47665,0.9089281,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
175,0.2921535893155259,0.49701267,0.3994176,0.0,0.0,0.3386512,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
176,0.2938230383973289,0.494082,0.40644616,0.0,0.0,0.3386512,0.9815667,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
177,0.29549248747913187,0.49389595,0.4086234,0.0,0.0,0.3386512,1.0342525,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
178,0.29716193656093487,0.49744982,0.415342,0.0,0.0,295.39655,1.0342525,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
179,0.2988313856427379,0.49768552,0.41757792,0.0,0.0,103.71743,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
180,0.3005008347245409,0.497758,0.41780883,0.0,0.0,260.7898,0.9249804,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
181,0.3021702838063439,0.49736118,0.41878852,0.0,0.0,0.3386512,0.9339854,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
182,0.3038397328881469,0.4975378,0.41926315,0.0,0.0,106.90677,0.9426909,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
183,0.3055091819699499,0.49743038,0.42101952,0.0,0.0,115.64676,0.9426909,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
184,0.3071786310517529,0.49730366,0.42194825,0.0,0.0,233.8513,0.9219359,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
185,0.3088480801335559,0.49685436,0.4231175,0.0,0.0,0.3386512,0.5333436,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
186,0.3105175292153589,0.49716118,0.4255721,0.0,0.0,527.3442,1.0342525,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
187,0.3121869782971619,0.49677792,0.4269143,0.0,0.0,0.3386512,0.9250354,1.0,1.0,high-progress,rollout_000575,object,0.9521475297055452
